timestamp,position_lat,position_long,distance,enhanced_altitude,altitude,enhanced_speed,speed,heart_rate,cadence,fractional_cadence,temperature,timestamp_utc,timezone
2022-02-01 13:52:39+01:00,46.43702977336943,11.3156692776829,7.61254,244.60000000000002,244.60000000000002,35.1684,35.1684,137,,,12,2022-02-01 12:52:39,Europe/Rome
2022-02-01 13:52:44+01:00,46.43660061992705,11.31561454385519,7.65943,243.79999999999995,243.79999999999995,33.757200000000005,33.757200000000005,137,,,12,2022-02-01 12:52:44,Europe/Rome
2022-02-01 13:52:46+01:00,46.436431892216206,11.315577747300267,7.67827,243.20000000000005,243.20000000000005,34.0596,34.0596,136,,,12,2022-02-01 12:52:46,Europe/Rome
2022-02-01 13:52:49+01:00,46.43618437461555,11.315501471981406,7.70617,242.60000000000002,242.60000000000002,33.019200000000005,33.019200000000005,133,,,12,2022-02-01 12:52:49,Europe/Rome
2022-02-01 13:52:54+01:00,46.435775673016906,11.315365936607122,7.75242,242.39999999999998,242.39999999999998,32.346,32.346,132,,,12,2022-02-01 12:52:54,Europe/Rome
2022-02-01 13:52:59+01:00,46.43538122065365,11.315238196402788,7.79689,242.20000000000005,242.20000000000005,32.4144,32.4144,129,,,12,2022-02-01 12:52:59,Europe/Rome
2022-02-01 13:53:03+01:00,46.43506740219891,11.315134260803461,7.83225,242.0,242.0,31.744799999999998,31.744799999999998,127,,,12,2022-02-01 12:53:03,Europe/Rome
2022-02-01 13:53:10+01:00,46.43451830372214,11.314948182553053,7.89467,241.79999999999995,241.79999999999995,32.886,32.886,127,,,12,2022-02-01 12:53:10,Europe/Rome
2022-02-01 13:53:13+01:00,46.4342856220901,11.314839385449886,7.92243,241.60000000000002,241.60000000000002,33.4548,33.4548,128,,,12,2022-02-01 12:53:13,Europe/Rome
2022-02-01 13:53:19+01:00,46.43382327631116,11.314586838707328,7.97817,241.60000000000002,241.60000000000002,33.7248,33.7248,131,,,12,2022-02-01 12:53:19,Europe/Rome
2022-02-01 13:53:23+01:00,46.43353125080466,11.31436463445425,8.01492,241.39999999999998,241.39999999999998,32.886,32.886,127,,,12,2022-02-01 12:53:23,Europe/Rome
2022-02-01 13:53:25+01:00,46.43339823000133,11.314223734661937,8.03274,241.20000000000005,241.20000000000005,31.676399999999997,31.676399999999997,126,,,12,2022-02-01 12:53:25,Europe/Rome
2022-02-01 13:53:32+01:00,46.43299841322005,11.313717970624566,8.09199,241.20000000000005,241.20000000000005,30.7692,30.7692,126,,,12,2022-02-01 12:53:32,Europe/Rome
2022-02-01 13:53:40+01:00,46.432510083541274,11.313193263486028,8.160359999999999,241.39999999999998,241.39999999999998,30.668400000000002,30.668400000000002,128,,,12,2022-02-01 12:53:40,Europe/Rome
2022-02-01 13:53:45+01:00,46.43219609744847,11.31289185024798,8.20221,241.39999999999998,241.39999999999998,30.1644,30.1644,125,,,12,2022-02-01 12:53:45,Europe/Rome
2022-02-01 13:53:46+01:00,46.43213499337435,11.312829740345478,8.210370000000001,241.39999999999998,241.39999999999998,29.357999999999997,29.357999999999997,122,,,12,2022-02-01 12:53:46,Europe/Rome
2022-02-01 13:53:47+01:00,46.432071877643466,11.312770899385214,8.21856,241.39999999999998,241.39999999999998,29.491200000000003,29.491200000000003,121,,,12,2022-02-01 12:53:47,Europe/Rome
2022-02-01 13:53:52+01:00,46.43176141194999,11.312474682927132,8.25917,241.39999999999998,241.39999999999998,29.1564,29.1564,124,,,12,2022-02-01 12:53:52,Europe/Rome
2022-02-01 13:53:58+01:00,46.43139151856303,11.31213546730578,8.30834,241.60000000000002,241.60000000000002,29.3904,29.3904,126,,,12,2022-02-01 12:53:58,Europe/Rome
2022-02-01 13:54:03+01:00,46.43108557909727,11.31184721365571,8.349260000000001,242.0,242.0,29.9628,29.9628,129,,,12,2022-02-01 12:54:03,Europe/Rome
2022-02-01 13:54:05+01:00,46.43095356412232,11.31174210458994,8.36581,242.0,242.0,29.628000000000004,29.628000000000004,129,,,12,2022-02-01 12:54:05,Europe/Rome
2022-02-01 13:54:10+01:00,46.4306231494993,11.311465417966247,8.407200000000001,241.79999999999995,241.79999999999995,29.7936,29.7936,132,,,12,2022-02-01 12:54:10,Europe/Rome
2022-02-01 13:54:12+01:00,46.43049289472401,11.311358464881778,8.424040000000002,241.60000000000002,241.60000000000002,29.9628,29.9628,133,,,12,2022-02-01 12:54:12,Europe/Rome
2022-02-01 13:54:14+01:00,46.4303742069751,11.31125989370048,8.44067,241.60000000000002,241.60000000000002,30.063600000000005,30.063600000000005,130,,,12,2022-02-01 12:54:14,Europe/Rome
2022-02-01 13:54:15+01:00,46.4302967581898,11.311195772141218,8.44906,241.60000000000002,241.60000000000002,30.1968,30.1968,127,,,12,2022-02-01 12:54:15,Europe/Rome
2022-02-01 13:54:16+01:00,46.43023196607828,11.31114455871284,8.4574,241.60000000000002,241.60000000000002,30.031200000000002,30.031200000000002,124,,,12,2022-02-01 12:54:16,Europe/Rome
2022-02-01 13:54:18+01:00,46.43011596053839,11.311048502102494,8.47363,241.60000000000002,241.60000000000002,28.987199999999998,28.987199999999998,121,,,12,2022-02-01 12:54:18,Europe/Rome
2022-02-01 13:54:22+01:00,46.42984732054174,11.310829231515527,8.50619,241.60000000000002,241.60000000000002,29.224800000000002,29.224800000000002,124,,,12,2022-02-01 12:54:22,Europe/Rome
2022-02-01 13:54:30+01:00,46.42932898364961,11.31041893735528,8.57199,242.0,242.0,28.2816,28.2816,123,,,12,2022-02-01 12:54:30,Europe/Rome
2022-02-01 13:54:31+01:00,46.429262682795525,11.310386247932911,8.57972,242.0,242.0,27.8784,27.8784,122,,,12,2022-02-01 12:54:31,Europe/Rome
2022-02-01 13:54:32+01:00,46.42919789068401,11.310349954292178,8.587299999999999,242.0,242.0,27.2772,27.2772,121,,,12,2022-02-01 12:54:32,Europe/Rome
2022-02-01 13:54:34+01:00,46.429073167964816,11.310276193544269,8.60268,242.0,242.0,28.2816,28.2816,120,,,12,2022-02-01 12:54:34,Europe/Rome
2022-02-01 13:54:35+01:00,46.42900787293911,11.310249706730247,8.61115,242.0,242.0,30.4992,30.4992,119,,,12,2022-02-01 12:54:35,Europe/Rome
2022-02-01 13:54:41+01:00,46.42853773199022,11.310066729784012,8.66765,241.60000000000002,241.60000000000002,34.2972,34.2972,117,,,12,2022-02-01 12:54:41,Europe/Rome
2022-02-01 13:54:42+01:00,46.42845584079623,11.310038901865482,8.67693,241.20000000000005,241.20000000000005,33.39,33.39,116,,,12,2022-02-01 12:54:42,Europe/Rome
2022-02-01 13:54:43+01:00,46.428390461951494,11.310026329010725,8.68625,240.20000000000005,240.20000000000005,33.5556,33.5556,115,,,12,2022-02-01 12:54:43,Europe/Rome
2022-02-01 13:54:45+01:00,46.42820748500526,11.310005793347955,8.70509,239.39999999999998,239.39999999999998,33.9948,33.9948,116,,,12,2022-02-01 12:54:45,Europe/Rome
2022-02-01 13:54:46+01:00,46.4281224925071,11.310003697872162,8.71457,238.79999999999995,238.79999999999995,34.128,34.128,117,,,12,2022-02-01 12:54:46,Europe/Rome
2022-02-01 13:54:49+01:00,46.42787237651646,11.309990119189024,8.74249,235.60000000000002,235.60000000000002,33.2532,33.2532,120,,,12,2022-02-01 12:54:49,Europe/Rome
2022-02-01 13:54:52+01:00,46.42762494273484,11.309940414503217,8.77009,238.20000000000005,238.20000000000005,33.2532,33.2532,121,,,12,2022-02-01 12:54:52,Europe/Rome
2022-02-01 13:54:57+01:00,46.42723384313285,11.309857601299882,8.8162,238.0,238.0,32.9868,32.9868,124,,,12,2022-02-01 12:54:57,Europe/Rome
2022-02-01 13:54:59+01:00,46.42705245874822,11.309853326529264,8.8349,238.20000000000005,238.20000000000005,33.6924,33.6924,124,,,12,2022-02-01 12:54:59,Europe/Rome
2022-02-01 13:55:06+01:00,46.42646220512688,11.30992004647851,8.89985,238.0,238.0,31.607999999999997,31.607999999999997,122,,,13,2022-02-01 12:55:06,Europe/Rome
2022-02-01 13:55:08+01:00,46.42630470916629,11.30995231680572,8.917200000000001,237.79999999999995,237.79999999999995,31.507200000000005,31.507200000000005,119,,,13,2022-02-01 12:55:08,Europe/Rome
2022-02-01 13:55:10+01:00,46.42616590484977,11.309985090047121,8.9348,237.79999999999995,237.79999999999995,31.607999999999997,31.607999999999997,119,,,13,2022-02-01 12:55:10,Europe/Rome
2022-02-01 13:55:16+01:00,46.4256926625967,11.310052312910557,8.98769,237.79999999999995,237.79999999999995,31.744799999999998,31.744799999999998,120,,,13,2022-02-01 12:55:16,Europe/Rome
2022-02-01 13:55:21+01:00,46.42530315555632,11.310096066445112,9.03056,238.39999999999998,238.39999999999998,30.2328,30.2328,124,,,13,2022-02-01 12:55:21,Europe/Rome
2022-02-01 13:55:26+01:00,46.424925131723285,11.310128588229418,9.07348,238.39999999999998,238.39999999999998,31.0716,31.0716,126,,,13,2022-02-01 12:55:26,Europe/Rome
2022-02-01 13:55:31+01:00,46.424542497843504,11.31019371561706,9.11657,237.79999999999995,237.79999999999995,30.938399999999998,30.938399999999998,129,,,13,2022-02-01 12:55:31,Europe/Rome
2022-02-01 13:55:34+01:00,46.42431895248592,11.31025766953826,9.14203,237.60000000000002,237.60000000000002,30.5676,30.5676,130,,,13,2022-02-01 12:55:34,Europe/Rome
2022-02-01 13:55:41+01:00,46.4237948320806,11.310420362278819,9.20252,237.39999999999998,237.39999999999998,31.2048,31.2048,127,,,13,2022-02-01 12:55:41,Europe/Rome
2022-02-01 13:55:42+01:00,46.42372224479914,11.310455817729235,9.21115,237.20000000000005,237.20000000000005,31.0716,31.0716,126,,,13,2022-02-01 12:55:42,Europe/Rome
2022-02-01 13:55:48+01:00,46.42328462563455,11.310754381120205,9.26361,237.20000000000005,237.20000000000005,31.842000000000002,31.842000000000002,129,,,13,2022-02-01 12:55:48,Europe/Rome
2022-02-01 13:55:49+01:00,46.42321564257145,11.310807941481471,9.27238,237.20000000000005,237.20000000000005,31.575600000000005,31.575600000000005,130,,,13,2022-02-01 12:55:49,Europe/Rome
2022-02-01 13:55:51+01:00,46.42309335060418,11.310911793261766,9.289959999999999,237.20000000000005,237.20000000000005,31.7088,31.7088,133,,,13,2022-02-01 12:55:51,Europe/Rome
2022-02-01 13:55:58+01:00,46.422617845237255,11.311349496245384,9.351280000000001,237.39999999999998,237.39999999999998,31.7088,31.7088,133,,,13,2022-02-01 12:55:58,Europe/Rome
2022-02-01 13:56:00+01:00,46.42250192351639,11.31146214902401,9.36861,237.39999999999998,237.39999999999998,31.3416,31.3416,133,,,13,2022-02-01 12:56:00,Europe/Rome
2022-02-01 13:56:01+01:00,46.4224239718169,11.311536664143205,9.37742,237.39999999999998,237.39999999999998,31.7088,31.7088,132,,,13,2022-02-01 12:56:01,Europe/Rome
2022-02-01 13:56:05+01:00,46.42216061241925,11.311725424602628,9.41174,237.39999999999998,237.39999999999998,30.5676,30.5676,133,,,13,2022-02-01 12:56:05,Europe/Rome
2022-02-01 13:56:11+01:00,46.42172181978822,11.311977300792933,9.464889999999999,237.20000000000005,237.20000000000005,32.6484,32.6484,130,,,13,2022-02-01 12:56:11,Europe/Rome
2022-02-01 13:56:12+01:00,46.42164621502161,11.31201921030879,9.47414,237.20000000000005,237.20000000000005,33.354000000000006,33.354000000000006,130,,,13,2022-02-01 12:56:12,Europe/Rome
2022-02-01 13:56:15+01:00,46.42140246927738,11.31216631270945,9.50178,236.79999999999995,236.79999999999995,32.6484,32.6484,130,,,13,2022-02-01 12:56:15,Europe/Rome
2022-02-01 13:56:17+01:00,46.421262910589576,11.312243426218629,9.51958,236.39999999999998,236.39999999999998,31.809600000000003,31.809600000000003,127,,,13,2022-02-01 12:56:17,Europe/Rome
2022-02-01 13:56:19+01:00,46.421113880351186,11.31231869570911,9.53728,236.20000000000005,236.20000000000005,32.144400000000005,32.144400000000005,124,,,13,2022-02-01 12:56:19,Europe/Rome
2022-02-01 13:56:24+01:00,46.42073946073651,11.312497481703758,9.58112,235.79999999999995,235.79999999999995,31.676399999999997,31.676399999999997,127,,,13,2022-02-01 12:56:24,Europe/Rome
2022-02-01 13:56:25+01:00,46.4206503611058,11.312545090913773,9.58984,235.79999999999995,235.79999999999995,31.4064,31.4064,127,,,13,2022-02-01 12:56:25,Europe/Rome
2022-02-01 13:56:27+01:00,46.42051692120731,11.312639471143484,9.60723,235.60000000000002,235.60000000000002,31.4064,31.4064,126,,,13,2022-02-01 12:56:27,Europe/Rome
2022-02-01 13:56:29+01:00,46.42041491344571,11.312733516097069,9.62475,235.39999999999998,235.39999999999998,31.543200000000002,31.543200000000002,126,,,13,2022-02-01 12:56:29,Europe/Rome
2022-02-01 13:56:30+01:00,46.42033662647009,11.312785567715764,9.63332,235.20000000000005,235.20000000000005,30.801599999999997,30.801599999999997,126,,,13,2022-02-01 12:56:30,Europe/Rome
2022-02-01 13:56:32+01:00,46.42020720988512,11.312876427546144,9.65059,235.39999999999998,235.39999999999998,31.0392,31.0392,125,,,13,2022-02-01 12:56:32,Europe/Rome
2022-02-01 13:56:39+01:00,46.41969599761069,11.313236597925425,9.71135,235.79999999999995,235.79999999999995,31.9428,31.9428,126,,,13,2022-02-01 12:56:39,Europe/Rome
2022-02-01 13:56:41+01:00,46.41956565901637,11.313326368108392,9.729059999999999,236.0,236.0,32.2128,32.2128,127,,,13,2022-02-01 12:56:41,Europe/Rome
2022-02-01 13:56:44+01:00,46.41935049556196,11.31347388960421,9.75564,236.0,236.0,31.575600000000005,31.575600000000005,130,,,13,2022-02-01 12:56:44,Europe/Rome
2022-02-01 13:56:48+01:00,46.419060565531254,11.313665751367807,9.79083,235.60000000000002,235.60000000000002,31.4424,31.4424,133,,,13,2022-02-01 12:56:48,Europe/Rome
2022-02-01 13:56:55+01:00,46.41856351867318,11.31395417265594,9.85081,235.60000000000002,235.60000000000002,30.5352,30.5352,135,,,13,2022-02-01 12:56:55,Europe/Rome
2022-02-01 13:57:03+01:00,46.4179824013263,11.314226165413857,9.919,236.0,236.0,30.297600000000003,30.297600000000003,135,,,13,2022-02-01 12:57:03,Europe/Rome
2022-02-01 13:57:05+01:00,46.41783521510661,11.314276875928044,9.935870000000001,236.0,236.0,30.434400000000004,30.434400000000004,132,,,13,2022-02-01 12:57:05,Europe/Rome
2022-02-01 13:57:13+01:00,46.41724496148527,11.314437054097652,10.00382,236.0,236.0,30.9024,30.9024,133,,,13,2022-02-01 12:57:13,Europe/Rome
2022-02-01 13:57:20+01:00,46.41672528348863,11.314575774595141,10.06329,236.0,236.0,30.668400000000002,30.668400000000002,131,,,13,2022-02-01 12:57:20,Europe/Rome
2022-02-01 13:57:28+01:00,46.4161223731935,11.3146763574332,10.13052,235.60000000000002,235.60000000000002,29.0556,29.0556,130,,,13,2022-02-01 12:57:28,Europe/Rome
2022-02-01 13:57:32+01:00,46.415835712105036,11.314688343554735,10.16225,235.79999999999995,235.79999999999995,28.519199999999998,28.519199999999998,133,,,13,2022-02-01 12:57:32,Europe/Rome
2022-02-01 13:57:35+01:00,46.415623063221574,11.314678201451898,10.18606,236.0,236.0,28.7208,28.7208,133,,,13,2022-02-01 12:57:35,Europe/Rome
2022-02-01 13:57:42+01:00,46.41513758338988,11.31462698802352,10.2414,236.0,236.0,28.418400000000002,28.418400000000002,134,,,14,2022-02-01 12:57:42,Europe/Rome
2022-02-01 13:57:45+01:00,46.41492761671543,11.31460066884756,10.26528,236.39999999999998,236.39999999999998,28.7208,28.7208,137,,,14,2022-02-01 12:57:45,Europe/Rome
2022-02-01 13:57:52+01:00,46.41445060260594,11.31450243294239,10.31767,236.60000000000002,236.60000000000002,26.334000000000003,26.334000000000003,137,,,14,2022-02-01 12:57:52,Europe/Rome
2022-02-01 13:57:57+01:00,46.41415153630078,11.314418613910675,10.35018,237.0,237.0,20.491200000000003,20.491200000000003,135,,,14,2022-02-01 12:57:57,Europe/Rome
2022-02-01 13:57:59+01:00,46.41406402923167,11.314389863982797,10.35919,237.39999999999998,237.39999999999998,14.9148,14.9148,135,,,14,2022-02-01 12:57:59,Europe/Rome
2022-02-01 13:58:02+01:00,46.4139795396477,11.314355917274952,10.370370000000001,238.39999999999998,238.39999999999998,17.4348,17.4348,134,,,14,2022-02-01 12:58:02,Europe/Rome
